tx_id,user_id,amount,fraud_proba,label
228173,U2425,2357.47,0.9999999999997455,0
223149,U2390,2181.26,0.9999999999967735,1
235113,U2452,2148.59,0.9999999999956475,1
218902,U2146,2139.66,0.9999999999947584,0
218991,U2343,2053.3,0.9999999999867346,0
211120,U2233,2040.91,0.9999999999840872,1
244695,U2267,2026.06,0.9999999999814735,0
205846,U2139,2005.12,0.9999999999723126,0
248214,U2054,1980.62,0.9999999999652314,0
200933,U2491,1991.16,0.9999999999622691,0
238468,U2141,1948.43,0.9999999999437172,1
220525,U2442,1886.31,0.9999999998604998,0
215048,U2259,1882.29,0.9999999998584259,0
218092,U2184,1876.27,0.9999999998498657,0
217805,U2223,1889.67,0.9999999998329374,1
232511,U2206,1812.77,0.9999999996854383,0
265348,U2453,1827.65,0.9999999996661055,0
202858,U2222,1819.95,0.9999999996260385,0
212837,U2379,1762.01,0.999999999342075,1
259802,U2318,1769.9,0.9999999993238442,1
254661,U2381,1765.76,0.9999999992937214,1
208118,U2333,1710.07,0.9999999986327863,0
206097,U2130,1698.8,0.9999999983617944,1
205868,U2037,1692.89,0.9999999981503003,1
227655,U2347,1689.04,0.9999999979720533,0
217753,U2296,1689.52,0.9999999977857212,0
239978,U2247,1644.71,0.9999999964655939,1
225058,U2095,1645.19,0.9999999961548618,1
245446,U2435,1621.94,0.999999995495813,1
236866,U2069,1632.72,0.9999999953773471,0
264648,U2478,1592.8,0.9999999941019391,0
243965,U2392,1584.72,0.9999999926134304,1
213733,U2250,1586.33,0.9999999920709427,0
225866,U2187,1578.79,0.9999999913865386,1
230976,U2381,1577.16,0.9999999911770482,0
222062,U2250,1597.8,0.9999999909407015,0
229046,U2244,1560.47,0.9999999888283148,1
266416,U2129,1555.96,0.9999999886160374,1
233060,U2312,1546.59,0.999999987018998,1
229946,U2315,1533.13,0.9999999855253952,1
216135,U2338,1527.7,0.9999999814310806,1
253336,U2467,1526.39,0.9999999808266097,1
243124,U2420,1510.74,0.9999999805560648,1
258172,U2298,1508.22,0.9999999789403957,0
249452,U2484,1517.32,0.999999978847445,1
243472,U2044,1503.98,0.9999999763874735,1
211605,U2152,1507.38,0.9999999761955288,1
262666,U2052,1464.66,0.9999999682399844,0
216139,U2493,1482.72,0.9999999679237729,0
241801,U2018,1479.92,0.999999966835724,0
216676,U2475,1486.92,0.9999999660483596,1
233506,U2469,1466.69,0.9999999608880572,1
234027,U2230,1494.05,0.9999999575949061,0
232336,U2310,1473.15,0.9999999544131194,1
243946,U2096,1426.8,0.9999999346945943,0
204205,U2423,1429.69,0.9999999285435113,1
238653,U2189,1410.71,0.999999922603489,1
223770,U2166,1408.87,0.9999999190076737,1
220895,U2223,1442.16,0.9999999123521616,0
203473,U2099,1411.07,0.9999999102300762,1
222265,U2295,1403.15,0.9999999081084878,1
235330,U2451,1406.18,0.9999999051889089,0
255400,U2097,1385.46,0.9999999015646325,0
216151,U2230,1402.61,0.9999998892332894,1
228523,U2225,1365.88,0.9999998684610278,1
256530,U2004,1359.88,0.9999998664441042,0
245103,U2265,1371.55,0.9999998602019233,0
216754,U2131,1373.08,0.9999998545739912,0
233198,U2076,1371.14,0.9999998502355105,1
202286,U2095,1362.48,0.9999998404097025,1
256520,U2096,1367.22,0.999999830365934,1
264697,U2276,1346.61,0.9999998157755765,0
212704,U2489,1346.34,0.9999998086107627,0
225432,U2287,1337.38,0.9999998033678235,1
235255,U2484,1351.76,0.999999802814062,1
260870,U2017,1322.89,0.9999997775985974,0
233856,U2088,1335.5,0.9999997689576051,1
215652,U2374,1335.44,0.9999997457769458,0
209070,U2474,1314.79,0.9999997067158531,0
260753,U2455,1311.34,0.9999997065996821,1
247150,U2031,1321.28,0.9999997062809441,1
233817,U2061,1307.25,0.9999997042866138,1
266314,U2236,1310.89,0.9999996941395347,1
228559,U2194,1317.24,0.9999996516454662,0
267175,U2039,1286.19,0.9999996401472031,1
246815,U2230,1331.2,0.9999996358186213,0
250518,U2037,1324.3,0.9999996204197867,0
